registration,reg_country_prefix,aoc,aircraft_type_raw,aircraft_variant,aircraft_msn,wo_count,first_issue_date,last_issue_date,max_total_hours,max_total_cycles,top_station,distinct_stations,top_ata_chapter
G-REG00563,G,Ryanair UK (UK),B737-8,737-800,40284,7,2025-10-31,2026-03-26,51594.7,26730,MAN,3,25
EI-REG00578,EI,Ryanair DAC (Ireland),B737-8,737-800,33571,7,2025-08-16,2026-09-01,67185.5,40333,MAD,4,23
EI-REG00587,EI,Ryanair DAC (Ireland),B737-8,737-800,34979,7,2025-06-14,2026-07-01,50820.3,27014,GDN,7,25
EI-REG00595,EI,Ryanair DAC (Ireland),M73-82,737-8200,62381,7,2025-04-21,2026-07-21,7723.8,3664,DUB,6,25
SP-REG00599,SP,Buzz (Poland),M73-82,737-8200,62390,7,2025-09-19,2026-09-11,4603.0,1999,KRK,4,25
EI-REG00603,EI,Ryanair DAC (Ireland),B737-8,737-800,38490,7,2025-12-05,2026-08-20,52290.2,28428,BLQ,4,23
EI-REG00083,EI,Ryanair DAC (Ireland),B737-8,737-800,35030,6,2025-09-02,2026-09-13,51453.2,27376,STN,5,38
EI-REG00248,EI,Ryanair DAC (Ireland),M73-82,737-8200,67121,6,2026-02-12,2026-07-27,3235.4,1523,BGY,4,33
EI-REG00253,EI,Ryanair DAC (Ireland),B737-8,737-800,38510,6,2025-04-15,2026-08-31,51954.4,28321,STN,5,25
SP-REG00290,SP,Buzz (Poland),B737-8,737-800,37518,6,2025-07-03,2026-08-19,55914.1,31472,VNO,6,25
EI-REG00291,EI,Ryanair DAC (Ireland),M73-82,737-8200,62387,6,2025-05-08,2026-08-26,5677.6,2483,EMA,5,25
G-REG00310,G,Ryanair UK (UK),B737-8,737-800,37527,6,2025-04-20,2026-03-10,56269.7,30636,STN,2,25
EI-REG00327,EI,Ryanair DAC (Ireland),B737-8,737-800,37537,6,2025-01-06,2026-05-16,52746.5,28571,STN,4,38
EI-REG00349,EI,Ryanair DAC (Ireland),M73-82,737-8200,67137,6,2025-10-14,2026-09-01,3669.5,1781,BGY,4,25
EI-REG00372,EI,Ryanair DAC (Ireland),B737-8,737-800,35012,6,2024-07-21,2026-06-20,53915.6,28910,TRS,5,36
EI-REG00395,EI,Ryanair DAC (Ireland),B737-8,737-800,38515,6,2025-03-28,2026-07-29,51165.9,26871,BGY,5,33
EI-REG00430,EI,Ryanair DAC (Ireland),M73-82,737-8200,67131,6,2026-02-14,2026-09-07,2499.6,1135,ALC,3,25
EI-REG00447,EI,Ryanair DAC (Ireland),M73-82,737-8200,67124,6,2025-10-17,2026-03-13,1833.4,773,BHX,5,25
EI-REG00450,EI,Ryanair DAC (Ireland),B737-8,737-800,40295,6,2025-04-09,2026-09-04,44746.7,21465,OPO,6,25
EI-REG00476,EI,Ryanair DAC (Ireland),B737-8,737-800,33601,6,2025-05-04,2026-08-02,62366.0,37389,BGY,4,23
EI-REG00507,EI,Ryanair DAC (Ireland),M73-82,737-8200,67109,6,2025-01-09,2026-03-25,5990.4,2806,BRS,5,25
EI-REG00509,EI,Ryanair DAC (Ireland),B737-8,737-800,33626,6,2024-12-31,2026-08-11,57636.6,33155,STN,5,23
EI-REG00511,EI,Ryanair DAC (Ireland),M73-82,737-8200,62394,6,2025-10-04,2026-07-15,3475.2,1633,ARN,6,25
EI-REG00515,EI,Ryanair DAC (Ireland),B737-8,737-800,33600,6,2025-06-09,2026-06-12,61298.9,36599,MAN,6,25
EI-REG00517,EI,Ryanair DAC (Ireland),M73-82,737-8200,67068,6,2025-10-27,2026-08-15,3471.1,1737,PMI,4,25
EI-REG00536,EI,Ryanair DAC (Ireland),B737-8,737-800,38499,6,2025-01-20,2026-08-15,52506.2,26933,ARN,6,26
EI-REG00546,EI,Ryanair DAC (Ireland),M73-82,737-8200,62382,6,2025-02-06,2026-05-17,6656.6,2901,MAN,5,25
EI-REG00553,EI,Ryanair DAC (Ireland),B737-8,737-800,33635,6,2025-02-14,2026-08-11,55115.2,31717,BCN,5,23
EI-REG00558,EI,Ryanair DAC (Ireland),B737-8,737-800,35043,6,2025-02-24,2026-07-10,45062.1,22595,FAO,5,23
EI-REG00567,EI,Ryanair DAC (Ireland),B737-8,737-800,37522,6,2025-01-26,2026-05-22,53307.1,30921,CRL,6,25
EI-REG00568,EI,Ryanair DAC (Ireland),B737-8,737-800,37512,6,2025-04-09,2026-07-21,54212.3,30847,AGP,6,23
EI-REG00576,EI,Ryanair DAC (Ireland),M73-82,737-8200,62384,6,2025-02-10,2026-05-19,6729.3,3079,MAD,5,25
9H-REG00577,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44700,6,2025-01-11,2026-08-23,34953.9,20270,DUB,5,25
G-REG00582,G,Ryanair UK (UK),B737-8,737-800,40285,6,2022-07-28,2026-03-27,51880.0,25725,STN,3,25
EI-REG00586,EI,Ryanair DAC (Ireland),B737-8,737-800,40288,6,2025-05-07,2026-08-22,44699.1,22798,CPH,6,25
EI-REG00588,EI,Ryanair DAC (Ireland),B737-8,737-800,33825,6,2025-01-07,2026-04-29,62675.4,37098,CTA,5,25
EI-REG00593,EI,Ryanair DAC (Ireland),B737-8,737-800,33630,6,2025-02-16,2026-09-02,57056.1,33827,FKB,6,33
9H-REG00596,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,36077,6,2025-01-20,2026-08-26,59442.8,34077,STN,5,25
EI-REG00606,EI,Ryanair DAC (Ireland),B737-8,737-800,40300,6,2025-03-15,2026-09-05,48648.1,25090,PFO,6,25
9H-REG00005,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,33580,5,2023-05-31,2026-04-05,62889.2,38794,MAD,4,25
EI-REG00095,EI,Ryanair DAC (Ireland),B737-8,737-800,38514,5,2025-08-18,2026-08-13,52531.2,27963,CRL,4,25
9H-REG00141,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,33581,5,2025-06-16,2025-09-10,60616.9,37159,LBA,5,25
EI-REG00171,EI,Ryanair DAC (Ireland),B737-8,737-800,37533,5,2025-01-08,2026-08-24,55700.9,29530,BCN,4,36
EI-REG00212,EI,Ryanair DAC (Ireland),M73-82,737-8200,67065,5,2026-01-14,2026-05-13,2256.6,1007,STN,4,25
EI-REG00243,EI,Ryanair DAC (Ireland),M73-82,737-8200,67082,5,2025-02-18,2026-03-03,10389.6,4836,EMA,4,33
EI-REG00341,EI,Ryanair DAC (Ireland),B737-8,737-800,38503,5,2025-05-21,2026-05-07,51486.0,26425,BCN,5,25
EI-REG00456,EI,Ryanair DAC (Ireland),M73-82,737-8200,62392,5,2025-08-22,2026-07-04,3385.7,1574,DUB,4,33
9H-REG00482,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,33824,5,2025-05-14,2026-06-05,64063.2,38104,FAO,5,25
EI-REG00492,EI,Ryanair DAC (Ireland),B737-8,737-800,37524,5,2025-12-18,2026-07-11,54668.1,30422,TLS,4,23
EI-REG00502,EI,Ryanair DAC (Ireland),B737-8,737-800,33616,5,2025-01-31,2026-07-06,58927.2,34478,BGY,4,23
EI-REG00513,EI,Ryanair DAC (Ireland),M73-82,737-8200,62389,5,2025-07-23,2026-08-03,5295.7,2313,DUB,4,25
EI-REG00518,EI,Ryanair DAC (Ireland),M73-82,737-8200,62386,5,2025-07-16,2026-01-26,3107.7,1356,MAN,5,25
SP-REG00535,SP,Buzz (Poland),M73-82,737-8200,67122,5,2025-09-12,2026-05-23,3234.5,1511,KRK,4,25
EI-REG00544,EI,Ryanair DAC (Ireland),B737-8,737-800,36076,5,2025-05-22,2026-03-12,57917.2,33849,BCN,5,23
SP-REG00557,SP,Buzz (Poland),M73-82,737-8200,62385,5,2025-04-09,2026-01-29,3330.7,1523,KRK,5,25
EI-REG00560,EI,Ryanair DAC (Ireland),M73-82,737-8200,62398,5,2025-11-21,2026-06-06,2818.6,1244,STN,4,25
9H-REG00562,9H,Malta Air / Lauda Europe (Malta),M73-82,737-8200,62361,5,2025-09-02,2026-07-27,11483.8,5974,MLA,3,33
EI-REG00569,EI,Ryanair DAC (Ireland),M73-82,737-8200,67063,5,2025-08-15,2026-09-06,4313.3,1881,LIS,3,25
SP-REG00575,SP,Buzz (Poland),M73-82,737-8200,67069,5,2025-04-27,2026-05-24,4945.0,2430,KRK,3,25
EI-REG00594,EI,Ryanair DAC (Ireland),B737-8,737-800,33632,5,2025-03-14,2026-07-04,57364.5,32730,CIA,5,23
EI-REG00605,EI,Ryanair DAC (Ireland),B737-8,737-800,33638,5,2025-01-18,2026-02-03,56033.0,32139,CTA,5,25
EI-REG00021,EI,Ryanair DAC (Ireland),B737-8,737-800,33619,4,2025-09-02,2026-07-07,59211.3,34006,DUB,3,25
EI-REG00101,EI,Ryanair DAC (Ireland),M73-82,737-8200,62396,4,2025-09-30,2026-07-06,3122.6,1360,AGP,4,25
EI-REG00220,EI,Ryanair DAC (Ireland),B737-8,737-800,35038,4,2025-09-02,2026-07-21,48141.8,25017,BER,4,25
SP-REG00429,SP,Buzz (Poland),M73-82,737-8200,67130,4,2026-04-21,2026-09-10,2357.9,1117,KRK,2,38
SP-REG00459,SP,Buzz (Poland),B737-8,737-800,33573,4,2025-04-27,2026-08-14,66210.0,40004,BGY,4,23
EI-REG00462,EI,Ryanair DAC (Ireland),B737-8,737-800,35009,4,2025-01-17,2026-05-21,54689.8,28166,DUB,4,33
EI-REG00504,EI,Ryanair DAC (Ireland),M73-82,737-8200,67093,4,2025-10-14,2026-09-07,9265.3,4523,ALC,2,33
9H-REG00537,9H,Malta Air / Lauda Europe (Malta),32S,A320,5015,4,2025-11-25,2026-05-29,35343.5,23137,ZAG,2,25
9H-REG00543,9H,Malta Air / Lauda Europe (Malta),32S,A320,2252,4,2025-04-24,2026-09-13,61609.2,30450,PMI,3,25
9H-REG00572,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44705,4,2025-10-20,2026-07-27,32640.6,18689,STN,4,25
EI-REG00581,EI,Ryanair DAC (Ireland),M73-82,737-8200,67118,4,2025-11-14,2026-06-09,3445.8,1443,DUB,3,25
EI-REG00597,EI,Ryanair DAC (Ireland),B737-8,737-800,35006,4,2025-08-22,2026-09-05,54917.1,30398,BCN,4,23
9H-REG00608,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,33589,4,2025-04-30,2026-01-23,61909.4,36654,CRL,3,23
EI-REG00609,EI,Ryanair DAC (Ireland),M73-82,737-8200,67129,4,2026-03-07,2026-08-31,2470.5,991,ARN,4,25
EI-REG00622,EI,Ryanair DAC (Ireland),B737-8,737-800,33565,4,2025-10-16,2026-07-21,68480.9,41901,MAD,4,23
EI-REG00625,EI,Ryanair DAC (Ireland),B737-8,737-800,33613,4,2026-01-21,2026-07-01,60239.4,35670,BLQ,4,23
EI-REG00370,EI,Ryanair DAC (Ireland),B737-8,737-800,35037,3,2025-04-21,2026-03-20,46251.9,23033,FEZ,3,26
EI-REG00377,EI,Ryanair DAC (Ireland),B737-8,737-800,35028,3,2025-08-04,2026-06-03,52945.1,25625,SNN,3,25
EI-REG00584,EI,Ryanair DAC (Ireland),B737-8,737-800,38491,3,2025-08-15,2026-09-03,52648.2,28162,BLQ,3,38
EI-REG00610,EI,Ryanair DAC (Ireland),M73-82,737-8200,62395,3,2026-08-13,2026-08-29,3601.5,1715,PFO,1,25
EI-REG00619,EI,Ryanair DAC (Ireland),M73-82,737-8200,62399,3,2025-10-08,2026-08-14,3412.3,1559,OPO,3,25
