wo,ata,ac,pos,pn_off,sn_off,pn_on,sn_on,label,cert
55447374,25-00,M73-82,GALLEY G4,8201-11-0000-01,19-06-0291,8201-11-0000-01,21-11-0268,3800145,1277349
190415579,33-00,M73-82,5ABC,9651-35-0002,34691,9651-35-0002,53935,4072928,ARC167102
190656754,26-00,B737-8,AFT,473597-5,SJA4169,473597-5,24555A,4229295,14041229
190173277,23-00,B737-8,FL DK,5145-1-82,12540,5145-1-82,15839,3985009,PAV11862
55046998,23-00,B737-8,FL DK,5145-1-82,14992,5145-1-82,17306,3740526,PAV8696
35059098,25-30,B737-8,AFTGALLY,8201-11-0000,07-10-24304,8201-11-0000-01,17-11-39496,3745318,1227656
55585544,72-21,B737-8,NO.1 #09,,,340-001-038-0,DD286867,3879558,R250516080
55585544,72-21,B737-8,#1,340-001-038-0,DM127800,,,9545251,
190689090,33-00,B737-8,23DEF,9651-35-0003,8832,9651-35-0003,7190,4043563,64244
190348804,33-00,M73-82,33 ABC,9651-35-0005,18371,9651-35-0005,63876,4228912,47002193-01
55518958,25-00,B737-8,AFTGALLY,8201-11-0000-01,16-10-38131,8201-11-0000,08-05-25451,4125094,PAV13804
190275440,38-00,M73-82,G1,62197-301-001,23-06-0201,62197-301-001,16-12-0316,3965213,1428766
55712149,25-00,B737-8,AFT,62197-301-001,14-12-7215,62197-301-001,21-11-0228,3829036,WAV361
55428926,33-00,M73-82,11ABC,9651-35-0004,23505,9651-35-0004,6933,3799448,ARC139393
55428926,33-00,M73-82,3DEF,9651-35-0005,61108,9651-35-0005,20363,3816541,141868
55420488,25-32,M73-82,GALLEY G1,62197-301-001,18-01-0428,62197-301-001,16-10-0264,3871475,1341857
191350945,33-00,B737-8,31ABC,9651-35-0005,21038,9651-35-0005,65977,4077906,20169911-1
26158527,25-00,B737-8,AFTGALLY,72184025,4237,72184025,4154,3886977,1356331
26158527,25-00,B737-8,AFTGALLY,72184025,4012,72184025,4304,3925176,WAV638
55311401,33-21,M73-82,07DEF,9651-35-0002,49552,9651-35-0002,52628,4173836,ARC174273
190058559,25-00,B737-8,FWD,8201-11-0000,04-12-20647,8201-11-0000-01,18-06-0134,3879850,PAV10662
190557758,33-00,B737-8,PAX CAB,9651-35-0002,25075,9651-35-0002,39153,4019660,ARC162112
55203915,25-00,B737-8,FWDGALLY,8201-11-0000-01,19-03-0818,8201-11-0000-01,21-08-0151,3763998,2KAV1224018
41702818,38-00,B737-8,LAV A,14330-230,21065,14330-230,38805,3819515,0001108938
55041139,33-00,B737-8,RH,45-0351-4,3077,45-0351-4,3130,4058416,PAV12922
190676709,33-00,B737-8,LH,72605363-1,5507,72605363-1,2791,3908114,353567146
190048042,30-30,B737-8,FIN,0851HT1,286641,0851HT1,432992,3570459,11086579
190405913,30-30,M73-82,CAPT,0851HT1,404004,0851HT2,475099,3991105,408470469
190288531,25-31,M73-82,GALLEY 4,62197-301-001,21-02-0166,62197-301-001,21-02-0104,3845053,PAV10303
40026445,33-00,B737-8,RH,45-0351-4,5193,45-0351-4,6661,3892629,PAV10771
42187945,25-00,M73-82,GALLEY G1,8201-11-0000-01,17-08-39188,8201-11-0000-01,21-11-0949,4043163,PAV12706
42152375,33-21,M73-82,1ABC,9651-14-0004,6709,9651-14-0004,3593,4176237,174850
42152375,33-21,M73-82,2ABC,9651-35-0005,66943,9651-35-0005,51620,3420635,103630
55567934,25-31,B737-8,FWD,62197-301-001,16-06-0225,62197-301-001,21-02-0131,3779618,1258900
190660338,33-00,B737-8,15 ABC,9651-35-0005,31268,9651-35-0005,15997,3945611,ARC154512
42117645,25-32,M73-82,GALLEY G4,8201-11-0000-01,10-07-29021,8201-11-0000,06-11-22821,3727444,1219203
190528360,33-00,B737-8,4DEF,9651-35-0002,55177,9651-35-0002,35370,4157062,ARC172780
980006651,33-22,B737-8,RH,45-0351-4,5739,45-0351-4,6540,4110374,
55538595,33-21,B737-8,21DEF,9651-35-0002,26429,9651-35-0002,71802,3821950,1768
190575932,33-00,B737-8,18ABC,9651-35-0002,24911,9651-35-0002,26804,4148850,172590
190584210,33-21,B737-8,CABIN,9651-35-0005,33066,9651-35-0005,32151,3867475,146344
42152248,38-00,M73-82,AFT RH,SC4L500301-5,174737226-003,SC4L500301-4,1606211,4060365,E-6074532
55403653,33-21,M73-82,CABIN,9651-35-0002,54329,9651-35-0002,24537,3782744,20084398-1
35082968,33-21,B737-8,5DEF,9651-35-0002,37301,9651-35-0002,53974,4067832,ARC166101
190072581,25-31,B737-8,AFTGALLY,72184025,4331,72184025,N10100897044739,4009400,WAV1001
42178088,25-00,M73-82,GALLEY G4,62197-301-001,23-08-0259,62197-301-001,23-08-0126,3754975,KAV1224007
190579412,26-00,B737-8,AFT,473597-5,SJA4814,473597-5,SJB0862,3921827,R551148
40244545,26-16,B737-8,AFT,473597-5,40508,473597-5,23891A,3749913,R548437-60821
55461705,25-35,M73-82,GALLEY 4,62197-301-001,18-08-0778,62197-301-001,16-10-0265,3789402,WAV234
190592004,33-00,B737-8,2DEF,9651-35-0004,7810,9651-35-0004,13423,3740815,ARC134632
190609701,33-00,M73-82,18DEF,9651-35-0002,53821,9651-35-0002,32469,3920627,ARC151798
190620440,33-20,B737-8,CABIN,9651-35-0003,5399,9651-35-0003,14658,4025745,46505
190933798,25-00,B737-8,#3,8201-11-0000-01,21-02-0365,8201-11-0000-01,16-06-37695,4177024,KAV0626010
191314032,25-00,B737-8,AFTGALLY,62197-301-001,23-04-0110,62197-301-001,16-11-0293,4230965,WAV1682
