wo,ata,ac,pos,pn_off,sn_off,pn_on,sn_on,label,cert
55700270,38-00,B737-8,AFTGALLY,62197-301-001,16-08-0253,62197-301-001,19-02-0127,3845101,WAV405
26233815,72-21,B737-8,#2,340-001-038-0,PA704848,340-001-038-0,DM136132,3978834,R25091829001
26233815,72-21,B737-8,#2,340-001-038-0,PA674659,340-001-038-0,DM016323,3813457,10001
26233815,72-21,B737-8,#2,340-001-038-0,DM029229-W,340-001-038-0,DM136454,3979504,R25091830001
26233815,72-21,B737-8,#2,340-001-038-0,DE927188,340-001-038-0,DE177612,3813444,6001
55215657,33-42,B737-8,RH,45-0351-4,5151,45-0351-4,0182,3860274,2504456
980015197,25-00,B737-8,AFT,8201-11-0000-01,16-01-37104,8201-11-0000,08-05-25465,4209993,PAV14840
55286968,38-00,M73-82,LAV A,SC4L500301-5,171381588-008,SC4L500301-5,172972826-004,3841539,E-5745476
55002957,23-51,B737-8,F/.DECK,5145-1-82,16370,5145-1-82,11972,3857050,PAV10409
55654995,33-00,B737-8,25ABC,9651-35-0004,11891,9651-35-0004,19203,3908510,20104426
190211962,33-00,B737-8,RH,45-0351-4,3252,45-0351-4,9104,3961833,PAV11592
103661198,36-00,B737-8,#1,107484-7,14272,107484-7,6317,3891951,353348696
55113453,25-00,B737-8,AFTGALLY,8201-11-0000-01,16-02-37201,8201-11-0000-01,16-07-37790,3575334,1068653
55374092,33-00,M73-82,23ABC,9651-35-0002,44961,9651-35-0002,22779,4222089,178685
190619933,33-00,B737-8,2DEF,9651-35-0004,6360,9651-35-0004,19082,4128855,170875
190552351,33-00,B737-8,15ABC,9651-35-0005,30477,9651-35-0005,38197,3930867,153228
191123270,33-00,M73-82,CABIN,9651-35-0002,35257,9651-35-0002,66152,4060404,20162268
190598664,25-00,B737-8,FWD,8201-11-0000,07-02-23330,8201-11-0000-01,16-01-37083,4037997,PAV12630
190521282,33-00,B737-8,28ABC,9651-35-0005,32953,9651-35-0005,50702,4005636,160496
190471912,25-00,M73-82,GALLEY 1,62197-301-001,18-07-0595,62197-301-001,16-11-0294,4110397,WAV1333
35046670,23-00,B737-8,FWD,285W0024-1B,F33321,285W0024-1B,D21242,4049486,ARC164802
190905928,72-00,B737-8,#2,340-001-038-0,DE810096-9,340-001-038-0,PA526909,4169854,R2605123
191000507,30-31,B737-8,RH,0851HT1,409047,0851HT2,482886,4136629,9095293
191390793,25-00,B737-8,LAV E,SC4L500301-5,175184263-007,SC4L500301-5,175638526-007,4207310,6260995
55084437,33-20,B737-8,31DEF,9651-35-0005,32660,9651-35-0005,21211,3767033,ARC137610
190548656,72-21,B737-8,#1,340-001-036-0,DM129005,340-001-038-0,PA550876,3943193,R25072408001
55334423,25-00,M73-82,GALLEY 1 FWD,62197-301-001,17-11-0435,62197-301-001,16-01-0171,3819535,1295639
55307623,25-00,M73-82,001 FWD GALLEY,62197-301-001,15-07-7755,62197-301-001,17-01-0337,3816655,KAV0225016
35042005,25-00,B737-8,AFTGALLY,62197-301-001,15-03-7395,62197-301-001,21-02-0088,3803062,PAV9660
55569544,34-00,B737-8,F/O,0851HT1,452152,0851HT1,468957,3836637,407750238
980012700,25-35,B737-8,FWDGALLY,62197-301-001,15-10-8016,62197-301-001,23-05-0235,4175504,
191123761,33-21,M73-82,CAB,9651-35-0003,7155,9651-35-0003,11505,3986303,158200
190048021,33-42,B737-8,RH,45-0351-4,6661,45-0351-4,0119,3770912,1253763
191471118,26-16,B737-8,AFT,473597-5,21363A,473597-5,21758A,3951036,63815
190062066,25-00,B737-8,AFTGALLY,8201-11-0000-01,21-11-0983,8201-11-0000,07-08-24013,4006359,KAV1125031
190322896,33-00,M73-82,ROW 33,9651-35-0005,18082,9651-35-0005,63638,4002288,20129570
190051065,25-00,B737-8,FWD,8201-11-0000,06-12-22987,8201-11-0000-01,16-10-38136,3549765,1043803
55432675,38-00,M73-82,AFT RH,SC4L500301-5,11140741,SC4L500301-5,174677614-002,4070472,E6089371
55502937,33-00,B737-8,CAB,9651-35-0002,54299,9651-35-0002,21932,3930971,153159
55537171,33-00,B737-8,RH,9651-35-0002,35344,9651-35-0002,76339,3877405,20099053
190099365,23-42,B737-8,CABIN,285W0024-1B,F24167,285W0024-1B,F40039,3944365,ARC154313
190481686,38-11,M73-82,AFT RH,SC4L500301-5,11039486,SC4L500301-5,173942740-009,3967373,E-5943492
190878761,23-42,B737-8,CABIN,285W0024-1B,F37508,285W0024-1M,F56815,4170109,174301
55391812,73-00,M73-82,#2,2085M31G03,PSDMF480,2085M31G03,PSDNH262,3820802,NAB25A-00800
190621242,25-00,B737-8,FWDGALLY,62197-301-001,17-01-0349,62197-301-001,14-07-6905,4065898,WAV1170
190950332,25-00,B737-8,FWD,8201-11-0000-01,09-04-26813,8201-11-0000-01,21-11-0160,4130488,PAV13888
25839051,25-32,B737-8,GALLEY 4,72184025,4369,72184025,3005,3727005,1215128
191338527,26-16,B737-8,AFT,473597-5,SJA4547,473597-5,35816,4176701,R554075-66700
190573462,23-51,B737-8,CAPT,5145-1-82,017582,5145-1-82,17398,4098760,PAV13544
191325959,72-00,B737-8,#2,340-001-036-0,DM159722,340-001-038-0,DM176168,4207068,2114001
191325959,72-00,B737-8,#2,340-001-036-0,DM159585,340-001-036-0,PF591259,4217395,925-26-28717
191411084,33-21,B737-8,23 DEF,9651-35-0003,6416,9651-35-0003,15650,4228916,179075
107195697,38-32,B737-8,FWD,14330-230,28311,14330-230,ZSK702,4197663,084265
55373620,33-21,M73-82,9ABC,9651-35-0003,18687,9651-35-0003,9833,4116698,ARC170164
40876866,25-00,B737-8,GALLEY G1,72184025,N10121135044770,62197-301-001,15-03-7402,3835169,WAV374
190649363,25-00,B737-8,AFTGALLY,8201-11-0000,04-01-19625,8201-11-0000,04-11-20591,3788756,KAV0125050
190306730,33-21,M73-82,14ABC,9651-35-0005,50457,9651-35-0005,50367,3890588,148620
190541534,33-00,B737-8,27 LH,9651-35-0005,49124,9651-35-0005,31564,3857351,ARC145632
190290206,25-32,M73-82,FWD GALLEY,62197-301-001,17-07-0384,62197-301-001,16-11-0294,3903579,1370436
35090185,72-21,B737-8,#2,340-001-038-0,DM002003,340-001-036-0,PF458407,3795854,1144345
35090185,72-21,B737-8,#2,340-001-036-0,PF442493,340-001-038-0,DM100507,3796666,R2501070
35090185,72-21,B737-8,#2,340-001-038-0,DE188418,340-001-038-0,DM150747,3796978,R2501111
35090185,72-21,B737-8,#2,340-001-038-0,DM002149,,,9490559,
35090185,72-21,B737-8,#2,340-001-038-0,DM002092,340-001-038-0,DM149511,3796953,21120001
35090185,72-21,B737-8,#2,340-001-038-0,DM002159,340-001-038-0,DM170288,3796925,11509001
35090185,72-21,B737-8,#2,340-001-038-0,DM002131,340-001-038-0,DC615484,3796970,R2501083
35090185,72-21,B737-8,#2,340-001-038-0,DM002183,340-001-038-0,DM163493,3796548,R2501083
35090185,72-21,B737-8,#2,340-001-038-0,DM002171,340-001-036-0,PF458830,3795869,1144343
35090185,72-21,B737-8,#2,340-001-038-0,DM002096,340-001-038-0,DM169407,3791619,2001
35090185,72-21,B737-8,#2,340-001-038-0,DM002135,340-001-038-0,DM149612,3796956,21124001
35090185,72-21,B737-8,#2,340-001-038-0,DM002205,340-001-038-0,DM149825,3797159,R241211
35090185,72-21,B737-8,#2,340-001-038-0,DM002178,340-001-038-0,DM149600,3796539,R241211
35090185,72-21,B737-8,#2,340-001-038-0,DM002056,340-001-038-0,DM149778,3797146,R2412112
35090185,72-21,B737-8,#2,340-001-038-0,DM002025,340-001-038-0,DE186908,3796967,R250108
35090185,72-21,B737-8,#2,340-001-038-0,DM002151,340-001-038-0,DM128384,3763107,R2411141
35090185,72-21,B737-8,#2,340-001-038-0,DM002086,340-001-038-0,DM082414,3797637,R250111
35090185,72-21,B737-8,#2,340-001-036-0,PF459355,340-001-038-0,DM169526,3796957,21618001
35090185,72-21,B737-8,#2,340-001-036-0,PF459320,340-001-038-0,DM169409,3796959,21614001
35090185,72-21,B737-8,#2,,,340-001-036-0,PF458876,3795858,1144345
35090185,72-21,B737-8,#2,340-001-038-0,DM002229,340-001-038-0,DM163761,3797107,R2501082
35090185,72-21,B737-8,#2,340-001-038-0,DM002048,340-001-036-0,PF363609,3790791,8000
35090185,72-21,B737-8,#2,340-001-038-0,DM002126,340-001-038-0,DM150925,3796985,R2501113
35090185,72-21,B737-8,#2,340-001-038-0,DM002011,340-001-038-0,DD286051,3797671,R2412113
35090185,72-21,B737-8,#2,340-001-038-0,DM002150,340-001-038-0,DM131203,3796975,R250111
55530351,21-00,B737-8,AFTGALLY,8201-11-0000,03-02-18695,8201-11-0000-01,19-07-0773,3818930,KAV0225004
190240954,25-31,B737-8,RH,8201-11-0000-01,16-01-37103,8201-11-0000-01,17-07-39055,3575253,1065482
190143615,23-51,B737-8,FL DK,5145-1-82,12663,5145-1-88,29121,3862388,PAV10489
190605893,36-00,B737-8,#1,107484-7,19585,107484-7,12577,3853235,353059259
41632608,36-00,B737-8,#2,107484-7,18711,107484-7,19530,4056301,355171582
190520246,72-00,B737-8,#2,340-001-036-0,DM128173,340-001-038-0,DM174918,3879064,52304001
190520246,72-00,B737-8,#2,340-001-036-0,DM128052,340-001-038-0,DM168647,3884812,52927001
191412618,38-11,B737-8,FWD,SC4L500301-5,174853090-010,SC4L500301-5,175486113-009,4189374,E-6232201
55685438,38-00,B737-8,FWDGALLY,62197-301-001,18-07-0590,62197-301-001,19-06-0017,4154018,WAV1445
190050530,25-00,B737-8,FWD GALLEY,62197-301-001,19-06-0026,62197-301-001,17-01-0362,3818935,1295526
190044835,34-11,B737-8,RH,0851HT1,435092,0851HT2,457844,3626132,406788672
40189867,34-11,B737-8,CAPT,0851HT1,391337,0851HT2,466992,3797761,407584019
55624770,33-00,B737-8,8DEF,9651-35-0002,24469,9651-35-0002,35421,4019486,ARC162157
55592860,25-00,B737-8,AFTGALLY,72184025,3033,72184025,N10121145044780,3695017,1187389
42186034,25-00,M73-82,AFT GALLEY,62197-301-001,16-07-0239,62197-301-001,15-11-0142,4222967,WAV1577
191406854,25-00,B737-8,AFTGALLY,62197-301-001,17-11-0441,62197-301-001,22-05-0084,4147234,WAV1437
55596633,26-16,B737-8,AFT,473597-5,SJB1017,473597-5,39221,3755460,60824
105388799,36-11,B737-8,#1,107484-7,19085,107484-7,17394,3948901,354045131
191423735,33-00,B737-8,31ABC,9651-35-0005,23961,9651-35-0005,29427,4011039,ARC161161
55480483,33-21,M73-82,20DEF,9651-35-0002,19773,9651-35-0002,73525,3788163,65504
55703625,33-21,B737-8,CABIN,9651-35-0005,33661,9651-35-0005,17698,3816483,141558
190735014,25-00,B737-8,FWD,8201-11-0000,04-12-20660,8201-11-0000-01,22-02-0653,3941235,PAV11222
191312001,72-00,B737-8,#2,340-001-038-0,PA449574,340-001-038-0,DB625704,4138770,R26030401001
191312001,72-00,B737-8,#2,340-001-038-0,PA516445,340-001-038-0,PA573416,4063782,R25121222000
191312001,72-00,B737-8,#2,340-001-038-0,PA447374,340-001-038-0,PA532068,4169780,R260512
191312001,72-00,B737-8,#2,340-001-038-0,PA437969,340-001-038-0,DC977605,4136890,W336476
190312972,25-00,M73-82,AFT GALLEY,8201-11-0000-01,21-04-0063,8201-11-0000-01,21-01-0269,3934439,PAV11174
55667818,23-00,B737-8,#2,5145-1-82,17398,5145-1-82,17403,4076991,PAV13183
190635202,25-31,B737-8,FWDGALLY,72184025,N12061897044875,72184025,4258,4134034,WAV1401
55708231,25-00,B737-8,GALLEY 1,72184025,4340,72184025,4145,3788921,KAV0225012
55577955,36-00,B737-8,#2,107484-7,11912,107484-7,12631,4225018,356575805
190280123,33-21,M73-82,29DEF,9651-35-0005,44340,9651-35-0005,51398,3935389,20106761
190281815,33-00,M73-82,31ABC,9651-35-0005,50765,9651-35-0005,50528,3873412,20098872
190217445,33-00,B737-8,8ABC,,,9651-35-0003,7264,3860971,ARC145983
42169347,25-32,M73-82,GALLEY G4,62197-301-001,22-02-0466,62197-301-001,23-06-0210,4066706,SAV806
190096989,33-42,B737-8,RH,72605363-1,3459,72605363-1,0547,3954208,354252957
55052878,25-31,B737-8,AFT,72184025,N09040563044504,72184025,4238,3594939,1087499
55288544,73-11,M73-82,#2,2085M31G03,PAT0G606,2085M31G03,PSDNF162,3758932,NAB24A-04559
55462006,53-00,M73-82,10DEF,9651-35-0003,19856/IJP,9651-35-0003,10586,3758395,136596
42210305,38-00,M73-82,AFT LH,SC4L500301-5,11303952-008,SC4L500301-5,174737229-007,4069152,E-6088568
55605277,33-21,B737-8,9 DEF,9651-35-0003,5323,9651-35-0003,8025,3625517,88-1.000
190533380,25-00,B737-8,AFTGALLY,62197-301-001,16-01-0182,62197-301-001,19-04-0539,4026375,KAV1225080
191210826,33-00,M73-82,RH,9651-35-0002,24655,9651-35-0002,49724,4117367,169840
190397371,33-00,M73-82,20ABC,9651-35-0002,63979,9651-35-0002,54981,4173666,ARC174247
190137274,34-00,B737-8,F/O,0851HT1,375805,0851HT2,470225,3872019,407923627
190268349,23-00,B737-8,FWD CAB,285W0024-1B,F51061,285W0024-1M,F50564,3911294,150911
41930999,33-00,B737-8,20ABC,9651-35-0002,24972,9651-35-0002,39143,3925185,ARC152307
190364930,33-21,M73-82,7DEF,9651-35-0002,51093,9651-35-0002,39262,4234497,ARC179476
55599997,36-00,B737-8,#1,107484-7,19128,107484-7,13644,3819951,352424124
190369171,34-11,M73-82,CAPT,0851HT1,429764,0851HT2,479067,4047354,408744806
53883643,25-00,M73-82,GALLEY G4,8201-11-0000-01,19-03-0818,8201-11-0000-01,21-11-0977,4072424,PAV13123
190635502,25-00,B737-8,FWDGALLY,72184025,4030,72184025,N10121134044769,3849175,WAV427
55028383,23-51,B737-8,FL DK,5145-1-82,11564,5145-1-82,24101,3815727,1293049
190379344,25-00,M73-82,002 AFT GALLEY,62197-301-001,23-05-0289,62197-301-001,21-02-0088,4042498,WAV1093
55358574,25-00,M73-82,G1,8201-11-0000-01,23-09-0102,8201-11-0000,03-02-18695,3941089,KAV0725029
190832058,33-00,B737-8,24DEF,9651-35-0003,10806,9651-35-0003,10355,4032047,ARC162667
55378284,33-42,M73-82,RH,72605363-1,4131,72605363-1,0736,3798209,5086
190300441,25-32,M73-82,GALLEY,8201-11-0000-01,15-10-36713,8201-11-0000-01,21-11-0952,3925301,PAV11083
191499720,26-00,B737-8,AFT,473597-5,SJB1013,473597-5,SJB0909,3954114,12816703
190495073,34-11,M73-82,CAPT,0851HT1,400595,0851HT2,484003,4170642,409190749
42063713,25-00,B737-8,AFTGALLY,62197-301-001,14-09-7022,62197-301-001,21-11-0210,3876275,1346279
190465266,33-21,M73-82,5 DEF,9651-35-0002,65466,9651-35-0002,34999,4011335,ARC161422
42166419,33-20,M73-82,20,9651-35-0002,61163,9651-35-0002,56331,4021528,20144056
190130538,33-00,B737-8,LH,72605363-1,0759,72605363-1,5730,3986098,354545887
55474682,33-21,M73-82,CAB,9651-35-0002,51338,9651-35-0002,46546,4091609,ARC168424
190112388,26-00,B737-8,AFT,473597-5,48166,473597-5,SJA1807,3947145,63756
55331619,25-32,M73-82,AFTGALLY,8201-11-0000-01,23-09-0237,8201-11-0000-01,09-05-26939,4110810,PAV13639
40194172,25-00,B737-8,FWD GALLEY,62197-301-001,22-12-0117,62197-301-001,23-05-0342,3779592,1258783
55303071,25-00,M73-82,AFTGALLY,8201-11-0000-01,09-05-26939,8201-11-0000,07-09-24214,4096856,PAV13512
190581608,33-00,B737-8,20DEF,9651-35-0002,63263,9651-35-0002,60683,4012661,20141407-1.000EASA
190458134,25-32,M73-82,GALLEY 4,62197-301-001,23-05-0339,62197-301-001,22-02-0449,3990304,PAV11933
190083094,25-00,B737-8,GALLEY G1,62197-301-001,18-01-1098,62197-301-001,18-01-1099,4118184,KAV0426061
190880640,25-00,B737-8,AFT,8201-11-0000,07-02-23319,8201-11-0000,07-01-23102,4121247,KAV0326088
55491970,33-00,M73-82,29DEF,9651-35-0005,47100,9651-35-0005,17711,4078813,167522
190424415,33-21,M73-82,19DEF,9651-35-0002,50466,9651-35-0002,54344,4116708,ARC170113
55527070,25-31,B737-8,AFTGALLY,8201-11-0000,08-07-25642,8201-11-0000-01,23-03-0713,3830673,1306801
191484882,33-42,B737-8,RH,45-0351-4,4116,45-0351-4,7209,4192367,PAV14587
190997667,25-00,B737-8,FWDGALLY,8201-11-0000,04-11-20585,8201-11-0000,05-02-20902,4128968,KAV0526001
190707042,33-21,B737-8,19 ABC,9651-35-0002,32469,9651-35-0002,64272,3902220,20103219
190507537,25-36,B737-8,FWDGALLY,8201-11-0000,03-02-18710,8201-11-0000,08-05-25466,4001790,PAV12130
103683972,36-00,B737-8,#2,107484-7,17548,107484-7,8103,3810161,352315392
190151437,25-00,B737-8,FWDGALLY,8201-11-0000-01,17-12-40025,8201-11-0000,07-12-24543,3240782,L-3240782
190733773,25-31,B737-8,FWDGALLY,8201-11-0000,08-07-25656,8201-11-0000-01,14-12-35642,3908328,PAV10910
55442412,33-20,M73-82,11DEF,9651-35-0004,19258,9651-35-0004,12792,3954431,ARC155433
190009567,33-21,B737-8,CABIN,9651-35-0005,32679,9651-35-0005,58468,3791750,20086391
190165443,25-00,B737-8,FWD,8201-11-0000,05-09-21498,8201-11-0000-01,21-08-0152,3865768,KAV0525036
190292420,25-00,M73-82,GALLEY G1,8201-11-0000-01,17-02-38423,8201-11-0000-01,21-04-0054,3272209,AV0805
190540631,26-16,B737-8,AFT,473597-5,SJA1770,473597-5,27584A,3956051,12840525
191056638,25-00,B737-8,AFT,8201-11-0000,08-05-25472,8201-11-0000-01,15-11-36862,4121293,KAV0426019
190258087,25-31,B737-8,AFT,72184025,4025,72184025,4026,3848471,WAV414
190628487,38-00,B737-8,AFTGALLY,62197-301-001,16-10-0279,62197-301-001,18-07-0596,3855882,WAV442
191111532,33-00,M73-82,9DEF,9651-35-0003,10244,9651-35-0003,5292,3930949,152860
55524924,33-21,B737-8,#11 LH,9651-35-0004,8599,9651-35-0004,6167,3826333,ARC142862
35081809,25-00,B737-8,FWDGALLY,8201-11-0000-01,16-01-37094,8201-11-0000,02-11-18315,3857842,KAV0425048
190677373,33-21,B737-8,18DEF,9651-35-0002,16933,9651-35-0002,56576,3887758,320-1.000
191451209,33-00,B737-8,12ABC,9651-35-0005,16999,9651-35-0005,23151,4166956,ARC173799
55126535,25-00,B737-8,AFTGALLY,72184025,N12061892044870,72184025,4407,3851293,PAV10368
190623592,25-00,B737-8,AFT RH,62197-301-001,17-12-0428,72184025,N09040565044506,4072719,KAV0326016
190182143,25-00,B737-8,FWDGALLY,72184025,4260,72184025,N09030604044471,3820768,SAV520
55685704,33-00,B737-8,10 DEF,9651-35-0004,6727,9651-35-0004,12864,4061288,ARC165635
55412774,25-32,M73-82,GALLEY 4,62197-301-001,23-05-0227,62197-301-001,22-11-0530,3824290,PAV10002
190254200,23-00,B737-8,FL DK,5145-1-82,017581,5145-1-82,10659,3932365,PAV11148
190551966,33-00,B737-8,30DEF,9651-35-0005,21161,9651-35-0005,18716,3916388,151427
40100536,25-31,B737-8,AFTGALLY,62197-301-001,15-06-7706,62197-301-001,21-08-0080,3841560,PAV10246
190119813,25-00,B737-8,FWD,62197-301-001,22-02-0456,62197-301-001,21-02-0104,3881882,PAV10684
55619259,25-00,B737-8,AFTGALLY,62197-301-001,15-12-0151,62197-301-001,17-12-0412,3867417,1337643
190651988,33-00,B737-8,21ABC,9651-35-0002,17476,9651-35-0002,33154,4184184,ARC175284
190651988,33-00,B737-8,23ABC,9651-35-0002,29990,9651-35-0002,21929,4185485,ARC175359
190513636,33-00,B737-8,9 ABC,9651-35-0003,7146,9651-35-0003,15357,3856699,20096673
55601996,33-00,B737-8,10 ABC,9651-35-0004,14032,9651-35-0004,5757,3698562,ARC130795
190480049,25-32,M73-82,GALLEY G4,8201-11-0000-01,17-11-39511,8201-11-0000,05-11-21452,3598475,1094106
55308730,38-11,M73-82,FWD,SC4L500301-5,171187512-005,SC4L500301-5,174729449-001,4071485,E-6088632
55657444,25-00,B737-8,AFTGALLY,62197-301-001,23-05-0405,72184025,N11060380044784,3593966,1087702
191269983,33-00,M73-82,26ABC,9651-35-0004,6562,9651-35-0004,8704,3903118,149699
190450397,33-00,M73-82,CABIN,9651-35-0002,35553,9651-35-0002,29998,3975309,157221
55515128,33-21,B737-8,30ABC,9651-35-0005,15996,9651-35-0005,48851,3976098,20120927
191358174,25-00,B737-8,FWDGALLY,62197-301-001,14-09-7017,62197-301-001,23-09-0126,4053128,WAV1121
190044249,26-00,B737-8,FWD,473597-5,24426,473597-5,39301,4203884,13924222
42119570,33-00,M73-82,#14 LH,9651-35-0005,57773,9651-35-0005,38198,3975312,157118
55321608,33-00,M73-82,CABIN,9651-35-0005,58022,9651-35-0005,66183,3783495,20084164
41958828,23-51,B737-8,F/O,5145-1-82,12475,5145-1-82,15019,4053447,PAV12872
190575100,23-00,B737-8,F/O,5145-1-82,18192,5145-1-88,130557,4035066,PAV12593
55357051,33-42,M73-82,RH,72605363-1,4489,72605363-1,1210,3855729,3013273
191146725,33-00,M73-82,LH,72605363-1,4954,72605363-1,0622,4227674,356941777
41307259,38-00,B737-8,LAV A,14330-230,100250,14330-230,ZSK683,4048289,1185097
191397241,23-51,B737-8,FL DK,5145-1-82,24102,5145-1-82,11196,4165561,PAV14267
191499498,25-00,B737-8,FWD,72184025,N11060383044787,62197-301-001,21-02-0083,4173328,WAV1476
190467323,33-00,M73-82,11DEF,9651-35-0004,18180,9651-35-0004,10852,3826339,ARC142572
190100365,33-21,B737-8,16ABC,9651-35-0005,28626,9651-35-0005,34851,4084633,7664
191345442,26-10,B737-8,AFT,473597-5,SJA4223,473597-5,23800,4219678,R554347-66674
190306903,33-42,M73-82,LH,72605363-1,5741,72605363-1,6354,3919989,353796
190306903,33-42,M73-82,RH,72500410-2,2664,72500410-2,4077,3920857,353805984
190306903,33-42,M73-82,LH INBD,72500410-1,11749,72500410-1,4877,3891598,353449979
190451353,25-32,M73-82,G1,62197-301-001,21-11-0695,62197-301-001,22-11-0532,3957921,PAV11515
55474464,25-32,M73-82,GALLEY 4,8201-11-0000-01,16-02-37196,8201-11-0000-01,10-02-28231,4009573,PAV12293
55338529,25-00,M73-82,AFT RH,62197-301-001,19-07-0272,62197-301-001,22-05-0076,4083832,SAV831-UK
190602305,72-21,B737-8,#2,340-001-038-0,DE054967-W,340-001-038-0,PA242275,3970549,R25091602000
55418382,25-00,M73-82,AFT GALLEY,62197-301-001,21-11-0215,62197-301-001,16-01-0178,3942240,1405939
190697552,25-33,B737-8,AFT,62197-301-001,14-12-7222,62197-301-001,15-08-7810,4084473,SAV839-UK
190991162,26-00,B737-8,AFT,473597-5,45313,473597-5,23620A,4210490,13959321
42205838,25-00,M73-82,GALLEY G4,62197-301-001,19-07-0262,62197-301-001,16-06-0217,3989151,SAV670-UK CAA
55661237,27-00,B737-8,RH STAB,0851HT1,321244,0851HT2,463004,3748858,57962
191123917,33-21,M73-82,19 LH,9651-35-0002,62188,9651-35-0002,50728,4043503,ARC163915
55504927,26-16,B737-8,AFT,473597-5,SJA4568,473597-5,32237,3839755,R549592-62139
55504927,26-16,B737-8,AFT,473597-5,SJA4673,473597-5,SJA1394,3851115,62508
190725260,23-00,B737-8,FL DK,5145-1-82,14607,5145-1-82,12545,4230103,PAV15023
190014089,38-00,B737-8,AFT RH,14330-230,9304,14330-230,ZSK672,4048288,0001179670
190186758,26-00,B737-8,FWD,473597-5,34088,473597-5,SJA4620,3744440,R547980-6
190094337,26-00,B737-8,AFT,473597-5,49531,473597-5,SJA6457,3902577,63247
55251904,33-00,B737-8,CABIN,9651-35-0005,33661,9651-35-0005,31441,3715688,48-1.000
42212812,33-42,M73-82,RH,72605363-1,2928,72605363-1,1198,4118267,355950957
42212812,33-42,M73-82,RH INBD,72500410-4,4999,72500410-4,13196,4142283,356146318
42212812,33-42,M73-82,RH OUTBD,72500410-3,2599,72500410-3,14715,4142262,356145965
190608800,26-16,B737-8,AFT,473597-5,SJA6293,473597-5,24992A,3842436,R549863-62357
55736008,25-00,B737-8,AFTGALLY,8201-11-0000-01,15-12-37018,8201-11-0000-01,15-03-35919,3592861,1087288
55613208,33-21,B737-8,29DEF,9651-35-0005,30533,9651-35-0005,26580,4202791,ARC176365
190436696,33-00,M73-82,CAB,9651-35-0002,53812,9651-35-0002,16946,4207410,177252
190294388,25-00,M73-82,GALLEY 4,62197-301-001,23-09-0335,62197-301-001,17-11-0442,3852619,KAV0425031
190514466,25-31,B737-8,FWD,8201-11-0000,07-09-24233,8201-11-0000-01,10-07-29041,3857838,KAV0525003
190580829,23-00,B737-8,FWD,285W0024-1B,D22069,285W0024-1M,F52476,3907534,150303
41917236,72-00,B737-8,#2,340-001-036-0,DM129709,340-001-036-0,PF389143,3763662,1146310
41917236,72-00,B737-8,#2,340-001-036-0,DM131186,340-001-036-0,PF440035,3763703,1135587-1
41917236,72-00,B737-8,#2,340-001-036-0,DM129718,340-001-036-0,PF333866,3763659,1146310-1
41917236,72-00,B737-8,#2,340-001-036-0,DM130867,340-001-036-0,PF389360,3763670,1146313
190613220,33-00,B737-8,31 R/H,9651-35-0005,50781,9651-35-0005,58409,4087340,20179592
55447787,33-21,M73-82,31DEF,9651-35-0005,49721,9651-35-0005,33321,4043386,4278
55269117,25-00,B737-8,AFTGALLY,72184025,N09030618044485,72184025,N09060328044552,3809243,1286119
190619281,33-21,B737-8,CAB,9651-35-0002,22387,9651-35-0002,53846,4218980,ARC178590
190406376,33-00,M73-82,CAB,9651-35-0005,47628,9651-35-0005,16448,4019508,ARC161878
103251640,72-00,,#2,340-001-036-0,DM174864,340-001-036-0,PF334064,3843863,1150953
103251640,72-00,,#2,340-001-036-0,DM173808,340-001-038-0,DM083068,3842227,31206001
103251640,72-00,,#2,340-001-036-0,DM174935,340-001-038-0,DE189952,3834786,7000
103251640,72-00,,#2,340-001-036-0,DM174823,340-001-038-0,DM169526,3845232,3001
103251640,72-00,,#2,340-001-036-0,DM175134,340-001-038-0,DM138896,3829824,15001
103251640,72-00,,#2,340-001-036-0,DM174951,340-001-038-0,DE194197,3849410,R25031517
103251640,72-00,,#2,340-001-036-0,DM174444,340-001-038-0,DM169409,3845240,R25031517
103251640,72-00,,#2,340-001-036-0,DM174918,340-001-038-0,DE196368,3838315,1515001
103251640,72-00,,#2,340-001-036-0,DM174812,340-001-038-0,DM116925,3809940,21409001
103251640,72-00,,#2,340-001-036-0,DM175121,340-001-038-0,DC615484,3837092,26001
103251640,72-00,,#2,340-001-036-0,DM174891,340-001-038-0,DD279883,3838267,501001
103251640,72-00,,#2,340-001-036-0,DM174980,340-001-038-0,DM166867,3805762,12503001
103251640,72-00,,#2,340-001-036-0,DM175127,340-001-036-0,PF458839,3843934,1150953
103251640,72-00,,#2,340-001-036-0,DM174798,340-001-038-0,DE196229,3829811,42000
103251640,72-00,,#2,340-001-036-0,DM173298,340-001-038-0,DE191450,3825043,42000
103251640,72-00,,#2,340-001-036-0,DM173220,340-001-038-0,DM138493,3818419,R25022117001
103251640,72-00,,#2,340-001-036-0,DM174851,340-001-038-0,DM000310,3824937,30410001
103251640,72-00,,#2,340-001-036-0,DM175099,340-001-038-0,DE193108,3838331,1521001
103251640,72-00,,#2,340-001-036-0,DM175103,340-001-038-0,DE191069,3834229,10001
190286373,72-00,M73-82,#1,2085M31G03,PAT22E58,2085M31G03,PSDMF281,3976599,RF26651-1
190286373,72-00,M73-82,#1,2085M31G03,PAT11T49,2085M31G03,PAT2A736,3976505,RE16283-1
190286373,72-00,M73-82,#1,2085M31G03,PAT15R40,2085M31G03,PAT06F93,3976546,RF74843-1
